Exp,Wks,BlueCol,Ind,South,SMSA,Married,Sex,Union,Ed,Black,LWage
5,46,no,0,yes,yes,yes,male,no,16,no,6.43775
6,44,no,0,yes,yes,yes,male,no,16,no,6.43775
7,43,no,0,yes,yes,yes,male,no,16,no,6.52209
8,34,no,0,yes,yes,yes,male,no,16,no,6.61338
9,40,no,0,yes,yes,yes,male,no,16,no,6.73934
24,47,yes,0,no,yes,no,male,yes,12,no,6.65801
25,48,yes,0,no,yes,no,male,yes,12,no,6.72623
26,45,yes,0,no,yes,no,male,yes,12,no,6.80239
27,45,yes,0,no,yes,yes,male,yes,12,no,6.90776
28,47,yes,0,no,yes,yes,male,yes,12,no,7.03966
29,17,yes,0,no,yes,yes,male,yes,12,no,7.12769
30,47,yes,0,no,yes,yes,male,yes,12,no,7.24423
21,47,yes,0,yes,yes,yes,male,yes,12,no,6.55108
22,46,yes,0,yes,yes,yes,male,yes,12,no,6.62936
23,47,yes,0,yes,yes,yes,male,yes,12,no,6.72263
24,47,yes,0,yes,yes,yes,male,yes,12,no,6.7334
25,47,yes,0,yes,yes,yes,male,yes,12,no,6.72263
26,47,yes,0,yes,yes,yes,male,yes,12,no,6.95177
27,46,yes,0,yes,yes,yes,male,yes,12,no,7.05272
26,48,yes,0,yes,yes,yes,male,no,12,no,6.90575
27,48,yes,0,yes,yes,yes,male,no,12,no,6.90073
28,50,yes,0,yes,yes,yes,male,no,12,no,7.17012
29,48,yes,0,yes,yes,yes,male,no,12,no,7.26543
30,48,yes,0,yes,yes,yes,male,no,12,no,7.25912
31,46,no,0,yes,yes,yes,male,no,12,no,7.25488
32,46,yes,0,yes,yes,yes,male,no,12,no,7.40001
15,45,no,0,yes,yes,yes,male,no,17,no,6.80239
16,45,no,0,yes,yes,yes,male,no,17,no,6.80239
17,45,no,0,yes,yes,yes,male,no,17,no,6.9256
18,44,no,0,yes,yes,yes,male,no,17,no,7.00307
19,44,no,0,yes,yes,yes,male,no,17,no,7.1309
20,44,no,0,yes,yes,yes,male,no,17,no,7.12448
21,44,no,0,yes,yes,yes,male,no,17,no,7.12287
9,50,no,0,no,no,no,female,no,14,no,5.94017
10,46,no,0,no,no,no,female,no,14,no,5.86079
11,48,no,0,no,no,no,female,no,14,no,5.99894
12,46,no,0,no,no,no,female,no,14,no,6.0845
13,48,no,0,no,no,no,female,no,14,no,6.39526
14,41,no,0,no,no,no,female,no,14,no,6.47697
15,48,no,0,no,no,no,female,no,14,no,6.47697
16,50,yes,0,yes,yes,no,female,no,12,yes,5.97889
17,50,yes,0,yes,yes,no,female,no,12,yes,5.78383
18,48,yes,0,yes,yes,no,female,no,12,yes,5.85793
19,48,yes,0,yes,yes,no,female,no,12,yes,5.95324
20,50,yes,0,yes,yes,no,female,no,12,yes,6.14633
21,50,yes,0,yes,yes,no,female,no,12,yes,6.17587
22,49,yes,0,yes,yes,no,female,no,12,yes,6.38856
16,49,no,1,no,no,yes,male,no,14,no,6.62007
17,48,no,1,no,no,yes,male,no,14,no,6.49224
18,49,no,1,no,no,yes,male,no,14,no,6.77992
19,50,no,1,no,no,yes,male,no,14,no,6.74524
20,51,no,1,no,no,yes,male,no,14,no,7.09008
21,46,no,1,no,no,yes,male,no,14,no,7.1309
22,47,no,1,no,no,yes,male,no,14,no,7.1309
25,47,no,1,yes,yes,yes,male,no,16,no,6.90575
26,46,no,1,yes,yes,yes,male,no,16,no,6.90575
27,47,no,1,yes,yes,yes,male,no,16,no,7.6009
28,47,no,1,yes,yes,yes,male,no,16,no,7.64969
29,47,no,1,yes,yes,yes,male,no,16,no,7.71869
30,48,no,1,yes,yes,yes,male,no,16,no,7.78322
31,47,no,1,yes,yes,yes,male,no,16,no,7.80384
40,37,yes,1,no,yes,yes,male,yes,12,no,6.38688
41,49,yes,1,no,yes,yes,male,yes,12,no,6.47389
42,50,yes,1,no,yes,yes,male,yes,12,no,6.54247
43,47,yes,1,no,yes,yes,male,yes,12,no,6.67582
44,47,yes,1,no,yes,yes,male,yes,12,no,6.7417
45,25,yes,1,no,yes,yes,male,yes,12,no,6.83195
46,40,yes,1,no,yes,yes,male,yes,12,no,6.93634
25,50,no,0,no,no,yes,male,no,16,no,6.78333
26,49,no,1,no,no,yes,male,no,16,no,6.85751
27,49,no,1,no,no,yes,male,no,16,no,6.98472
28,48,no,1,no,no,yes,male,no,16,no,7.0579
29,48,no,1,no,no,yes,male,no,16,no,7.20564
30,49,no,1,no,no,yes,male,no,16,no,7.10988
31,48,no,1,no,no,yes,male,no,16,no,7.26683
28,42,yes,1,yes,no,yes,male,yes,4,no,6.05912
29,46,yes,1,yes,no,yes,male,yes,4,no,6.05209
30,49,yes,1,yes,no,yes,male,yes,4,no,5.99146
31,49,yes,1,yes,no,yes,male,yes,4,no,6.21461
32,48,yes,0,yes,no,yes,male,yes,4,no,6.32436
33,45,yes,0,yes,no,yes,male,yes,4,no,6.44254
34,42,yes,1,yes,no,yes,male,yes,4,no,6.44254
20,46,no,0,no,no,yes,male,no,14,no,6.59987
21,45,no,0,no,no,yes,male,no,14,no,6.59987
22,44,no,0,no,no,yes,male,no,14,no,6.68461
23,46,no,0,no,no,yes,male,no,14,no,6.72743
24,47,no,0,no,no,yes,male,no,14,no,6.88244
25,51,no,1,no,no,yes,male,no,14,no,6.95655
26,47,no,0,no,no,yes,male,no,14,no,7.04752
11,50,no,0,no,yes,yes,male,no,16,no,6.90575
12,50,no,0,no,yes,yes,male,no,16,no,6.90575
13,51,no,0,no,yes,yes,male,no,16,no,7.49554
14,50,no,0,no,yes,yes,male,no,16,no,7.66153
15,48,no,0,no,yes,yes,male,no,16,no,7.86327
16,47,no,0,no,yes,yes,male,no,16,no,8.03916
17,50,no,0,no,yes,yes,male,no,16,no,7.89357
5,30,no,0,no,no,no,female,no,12,no,5.43808
6,51,no,0,no,no,no,female,no,12,no,5.52146
7,51,yes,0,no,no,no,female,no,12,no,5.57973
8,52,yes,0,no,no,no,female,no,12,no,5.66988
9,49,yes,0,no,no,no,female,no,12,no,5.73657
10,51,yes,0,no,no,no,female,yes,12,no,5.84354
11,50,yes,0,no,no,no,female,no,12,no,5.85793
8,37,no,0,no,yes,yes,male,yes,17,no,6.52942
9,39,no,0,no,yes,yes,male,yes,17,no,6.57925
10,40,no,0,no,yes,yes,male,yes,17,no,6.71538
11,38,no,0,no,yes,yes,male,yes,17,no,6.68461
12,38,no,0,no,yes,yes,male,yes,17,no,6.79122
13,39,no,0,no,yes,yes,male,yes,17,no,6.97541
14,41,no,0,no,yes,yes,male,yes,17,no,6.90776
14,48,no,1,yes,yes,yes,male,no,15,no,6.47697
15,47,yes,1,yes,yes,yes,male,no,15,no,6.55108
16,49,no,1,yes,yes,yes,male,no,15,no,6.86693
17,48,no,1,yes,yes,yes,male,no,15,no,6.85646
18,47,no,1,yes,yes,yes,male,no,15,no,7.27932
19,47,no,1,yes,yes,yes,male,no,15,no,7.54961
20,48,no,1,yes,yes,yes,male,no,15,no,7.36708
8,50,no,0,no,yes,no,male,no,16,no,6.01616
9,52,no,0,no,yes,no,male,no,16,no,6.90575
10,48,no,0,no,no,no,male,no,16,no,7.04752
11,50,no,0,no,no,no,male,no,16,no,7.26193
12,50,no,0,no,no,no,male,no,16,no,7.09008
13,45,no,0,no,no,no,male,no,16,no,6.96319
14,23,no,0,no,no,no,male,no,16,no,7.31322
26,50,yes,0,no,yes,yes,male,no,12,no,6.7334
27,50,yes,0,no,yes,yes,male,no,12,no,6.69703
28,50,yes,0,no,yes,yes,male,no,12,no,6.68461
29,50,yes,0,no,yes,yes,male,no,12,no,6.74524
30,50,yes,0,no,yes,yes,male,no,12,no,6.73102
31,49,yes,0,no,yes,yes,male,no,12,no,6.80239
32,49,yes,0,no,yes,yes,male,no,12,no,6.74524
31,49,no,0,no,yes,yes,male,no,14,no,6.90575
32,49,no,0,no,yes,yes,male,no,14,no,6.90575
33,49,no,0,no,yes,yes,male,no,14,no,7.06219
34,49,no,0,no,yes,yes,male,no,14,no,7.57558
35,50,no,0,no,yes,yes,male,no,14,no,7.67322
36,49,no,0,no,yes,yes,male,no,14,no,7.47307
37,49,no,0,no,yes,yes,male,no,14,no,7.56008
17,47,no,0,yes,yes,no,female,no,12,no,6.19644
18,47,no,0,yes,yes,no,female,no,12,no,6.29895
19,48,no,0,yes,yes,no,female,no,12,no,6.3315
20,49,no,0,yes,yes,no,female,no,12,no,6.36303
21,49,no,0,yes,yes,no,female,no,12,no,6.48158
22,45,no,0,yes,yes,no,female,no,12,no,6.57786
23,49,no,0,yes,yes,no,female,no,12,no,6.64379
22,48,no,1,no,yes,yes,male,no,17,no,6.90575
23,48,no,1,no,yes,yes,male,no,17,no,6.90575
24,48,no,1,no,yes,yes,male,no,17,no,7.31322
25,47,no,1,no,yes,yes,male,no,17,no,7.24423
26,43,no,1,no,yes,yes,male,no,17,no,7.48437
27,47,no,0,no,yes,yes,male,no,17,no,7.54961
28,45,no,1,no,yes,yes,male,no,17,no,7.61332
30,50,no,1,no,yes,yes,male,no,16,no,6.90575
31,49,no,1,no,yes,yes,male,no,16,no,6.90575
32,49,no,1,no,yes,yes,male,no,16,no,7.46737
33,48,no,1,no,yes,yes,male,no,16,no,7.40853
34,49,no,1,no,yes,yes,male,no,16,no,7.60589
35,47,no,1,no,yes,yes,male,no,16,no,8.04879
36,47,no,1,no,yes,yes,male,no,16,no,7.74066
14,51,no,0,no,yes,yes,male,no,16,no,6.90575
15,47,no,0,no,yes,yes,male,no,16,no,6.90575
16,51,no,0,no,yes,yes,male,no,16,no,7.17012
17,47,no,0,no,yes,yes,male,no,16,no,7.27932
18,48,no,0,no,yes,yes,male,no,16,no,7.24065
19,50,no,0,no,yes,yes,male,no,16,no,7.37776
20,49,no,0,no,yes,yes,male,no,16,no,7.46737
45,48,yes,0,yes,no,yes,male,no,8,no,5.7589
46,48,yes,0,yes,no,yes,male,no,8,no,5.86079
47,48,yes,0,yes,no,yes,male,no,8,no,5.82305
48,49,yes,0,yes,no,yes,male,no,8,no,5.94803
49,50,yes,0,yes,no,yes,male,no,8,no,6.24804
50,48,yes,0,yes,no,yes,male,no,8,no,6.20658
51,46,yes,0,yes,no,yes,male,no,8,no,5.98394
8,30,yes,0,no,yes,yes,male,yes,13,yes,6.51471
9,49,yes,1,no,yes,yes,male,yes,13,yes,6.6107
10,48,yes,1,no,yes,yes,male,yes,13,yes,6.39693
11,49,yes,1,no,yes,yes,male,yes,13,yes,6.75227
12,34,yes,1,no,yes,yes,male,yes,13,yes,6.88653
13,48,yes,1,no,yes,yes,male,yes,13,yes,7.01212
14,45,yes,1,no,yes,yes,male,yes,13,yes,7.02554
15,52,yes,0,yes,yes,yes,male,no,10,no,6.62007
16,47,no,0,yes,yes,yes,male,no,10,no,6.77422
17,50,no,0,yes,no,yes,male,no,10,no,7.1309
18,50,no,0,yes,no,yes,male,no,10,no,7.08841
19,48,no,0,yes,yes,yes,male,no,10,no,7.1309
20,50,no,0,yes,yes,yes,male,no,10,no,6.90776
21,41,no,0,yes,yes,yes,male,no,10,no,7.18007
12,52,no,0,no,yes,yes,male,no,14,no,6.90575
13,47,no,0,no,yes,yes,male,no,14,no,6.7417
14,50,no,0,no,yes,yes,male,no,14,no,7.00307
15,49,no,0,no,yes,yes,male,no,14,no,7.1309
16,50,no,0,no,yes,yes,male,no,14,no,7.14283
17,48,no,0,no,yes,yes,male,no,14,no,7.28276
18,49,no,0,no,yes,no,male,no,14,no,7.40914
10,48,yes,1,no,no,yes,male,yes,12,no,6.05209
11,49,yes,1,no,no,yes,male,yes,12,no,6.05209
12,48,yes,1,no,no,yes,male,yes,12,no,6.05209
13,48,yes,1,no,no,yes,male,yes,12,no,6.36819
14,49,yes,1,no,no,yes,male,yes,12,no,6.43615
15,48,no,1,no,no,yes,male,yes,12,no,6.54965
16,49,yes,1,no,no,yes,male,yes,12,no,6.52209
6,47,no,0,no,yes,yes,male,no,13,no,6.47697
7,51,no,0,no,yes,no,male,no,13,no,6.58617
8,48,no,0,no,yes,no,male,no,13,no,6.47697
9,50,no,0,no,yes,no,male,no,13,no,6.52942
10,50,no,0,no,yes,no,male,no,13,no,6.80239
11,52,no,0,no,yes,no,male,no,13,no,6.77992
12,51,no,0,no,yes,yes,male,no,13,no,6.80793
30,47,no,0,yes,no,yes,male,yes,8,no,6.35784
31,39,no,0,yes,no,yes,male,yes,8,no,6.49979
32,32,no,0,yes,no,yes,male,yes,8,no,6.58203
33,35,no,0,yes,no,yes,male,yes,8,no,6.69456
34,47,no,0,yes,no,yes,male,yes,8,no,6.78784
35,45,no,0,yes,no,yes,male,yes,8,no,6.90776
36,47,no,0,yes,no,yes,male,yes,8,no,7.35819
20,50,no,0,yes,yes,yes,male,no,16,no,6.90575
21,50,no,0,yes,yes,yes,male,no,16,no,6.90575
22,50,no,0,yes,yes,yes,male,no,16,no,7.37776
23,50,no,0,yes,yes,yes,male,no,16,no,7.49109
24,50,no,0,yes,yes,yes,male,no,16,no,7.57558
25,48,no,0,yes,yes,yes,male,no,16,no,7.52833
26,47,no,0,yes,yes,yes,male,no,16,no,7.745
30,38,yes,1,no,yes,no,female,yes,12,yes,6.2186
31,41,yes,0,no,yes,no,female,yes,12,yes,6.49375
32,51,yes,0,no,yes,no,female,yes,12,yes,6.58064
33,50,yes,1,no,yes,no,female,yes,12,yes,6.6896
34,42,yes,1,no,yes,no,female,yes,12,yes,6.79347
35,50,yes,1,no,yes,no,female,yes,12,yes,6.92461
36,49,yes,1,no,yes,no,female,yes,12,yes,7.02554
5,49,no,0,no,yes,yes,male,no,16,no,6.68461
6,47,no,0,no,yes,yes,male,no,16,no,6.84375
7,48,no,0,no,yes,yes,male,no,16,no,6.90776
8,49,no,0,no,yes,yes,male,no,16,no,7.00307
9,46,no,0,no,yes,yes,male,no,16,no,7.1309
10,45,no,0,no,yes,yes,male,no,16,no,7.40853
11,49,no,0,no,yes,yes,male,no,16,no,7.43838
7,48,no,1,no,yes,yes,male,no,17,no,6.90575
8,48,no,1,no,yes,yes,male,no,17,no,6.90575
9,48,no,1,no,yes,yes,male,no,17,no,7.20786
10,47,no,1,no,yes,yes,male,no,17,no,7.31322
11,46,no,1,no,yes,yes,male,no,17,no,7.43838
12,46,no,1,no,yes,yes,male,no,17,no,7.49332
13,46,no,1,no,yes,yes,male,no,17,no,7.6009
13,49,no,0,no,yes,no,female,no,13,no,6.22456
14,50,no,0,no,yes,no,female,no,13,no,6.33328
15,50,no,0,no,yes,no,female,no,13,no,6.30992
16,50,no,0,no,yes,no,female,no,13,no,6.47697
17,50,no,0,no,yes,no,female,no,13,no,6.63332
18,50,no,0,no,yes,no,female,no,13,no,6.68211
19,49,no,0,no,yes,no,female,no,13,no,6.65286
6,42,yes,0,no,no,yes,male,yes,12,no,6.12687
7,44,yes,0,no,no,yes,male,yes,12,no,6.23245
8,48,yes,0,no,no,yes,male,yes,12,no,6.32615
9,47,yes,0,no,no,yes,male,yes,12,no,6.32436
10,48,yes,0,no,no,yes,male,yes,12,no,6.4677
11,47,no,0,no,no,yes,male,yes,12,no,6.60665
12,47,yes,0,no,no,yes,male,yes,12,no,6.55108
26,48,no,0,no,yes,yes,male,no,14,no,6.90575
27,49,no,0,no,yes,yes,male,no,14,no,6.90575
28,48,no,0,no,yes,yes,male,no,14,no,7.04752
29,48,no,0,no,yes,yes,male,no,14,no,7.09008
30,48,no,0,no,yes,yes,male,no,14,no,7.20786
31,47,no,0,no,yes,yes,male,no,14,no,7.11802
32,48,no,0,no,yes,yes,male,no,14,no,7.09008
26,50,no,1,no,yes,no,male,no,16,no,6.90575
27,50,no,1,no,yes,no,male,no,16,no,6.90575
28,50,no,1,no,yes,no,male,no,16,no,7.1309
29,50,no,1,no,yes,no,male,no,16,no,7.22621
30,48,no,1,no,yes,yes,male,no,16,no,7.1309
31,41,no,1,no,yes,yes,male,no,16,no,7.31322
32,49,no,1,no,yes,no,male,no,16,no,7.43838
31,47,no,1,no,no,yes,male,no,16,no,6.90575
32,46,no,1,no,no,yes,male,no,16,no,6.90575
33,47,no,1,no,no,yes,male,no,16,no,7.6009
34,48,no,1,no,no,yes,male,no,16,no,7.67601
35,47,no,1,no,no,yes,male,no,16,no,7.7021
36,49,no,1,no,no,yes,male,no,16,no,7.69621
37,48,no,1,no,no,yes,male,no,16,no,7.82084
31,50,no,0,no,yes,no,female,yes,12,no,6.27099
32,45,no,0,no,yes,no,female,yes,12,no,6.39859
33,43,no,0,no,yes,no,female,yes,12,no,6.48311
34,48,no,0,no,yes,no,female,yes,12,no,6.55678
35,46,no,0,no,yes,no,female,yes,12,no,6.65544
36,32,no,0,no,yes,no,female,yes,12,no,6.74876
37,28,no,0,no,yes,no,female,yes,12,no,6.84907
31,45,no,1,no,yes,yes,male,no,17,no,6.90575
32,48,no,1,no,yes,yes,male,no,17,no,6.90575
33,48,no,1,no,yes,yes,male,no,17,no,7.6009
34,47,no,0,no,yes,yes,male,no,17,no,7.64969
35,48,no,1,no,yes,yes,male,no,17,no,7.82405
36,47,no,1,no,yes,yes,male,no,17,no,7.86327
37,44,no,1,no,yes,yes,male,no,17,no,7.91936
25,46,no,0,no,yes,yes,male,no,16,no,6.90575
26,49,no,0,no,yes,yes,male,no,16,no,6.90575
27,49,no,0,no,yes,yes,male,no,16,no,7.24423
28,48,no,0,no,yes,yes,male,no,16,no,7.1309
29,48,no,0,no,yes,yes,male,no,16,no,7.46737
30,48,no,0,no,yes,yes,male,no,16,no,7.6009
31,49,no,0,no,yes,yes,male,yes,16,no,7.64969
13,47,no,0,yes,no,yes,male,no,13,no,6.43615
14,49,no,0,yes,no,yes,male,no,13,no,6.90575
15,48,yes,0,no,no,yes,male,no,13,no,6.95655
16,49,yes,0,no,no,yes,male,no,13,no,6.95655
17,48,no,0,no,no,yes,male,no,13,no,7.06048
18,47,yes,0,no,no,yes,male,no,13,no,7.20786
19,48,no,0,no,no,yes,male,no,13,no,7.20786
13,47,yes,1,no,no,yes,male,yes,11,no,6.51175
14,52,yes,1,no,no,yes,male,yes,11,no,6.5903
15,51,yes,1,no,no,yes,male,yes,11,no,6.68461
16,51,yes,1,no,no,yes,male,yes,11,no,6.74524
17,49,yes,1,no,no,yes,male,yes,11,no,6.8977
18,49,yes,1,no,no,yes,male,yes,11,no,7.0775
19,50,yes,1,no,no,yes,male,yes,11,no,7.10003
32,49,yes,1,no,yes,yes,male,yes,8,no,6.65415
33,49,yes,1,no,yes,yes,male,yes,8,no,6.85013
34,49,yes,1,no,yes,yes,male,yes,8,no,6.85646
35,47,yes,1,no,yes,yes,male,yes,8,no,6.92363
36,48,yes,1,no,yes,yes,male,yes,8,no,7.04141
37,47,yes,1,no,yes,yes,male,yes,8,no,7.1333
38,46,yes,1,no,yes,yes,male,yes,8,no,7.20786
23,51,yes,1,yes,no,yes,male,no,12,no,6.10925
24,49,yes,1,yes,no,yes,male,no,12,no,6.16331
25,52,yes,1,yes,no,yes,male,no,12,no,6.33328
26,52,yes,1,yes,no,yes,male,no,12,no,6.33328
27,48,yes,1,yes,no,yes,male,no,12,no,6.43775
28,50,yes,1,yes,no,yes,male,no,12,no,6.58617
29,50,yes,1,yes,no,yes,male,no,12,no,6.53379
21,47,yes,0,yes,yes,yes,male,no,11,no,6.04025
22,49,yes,0,yes,yes,yes,male,no,11,no,6.28972
23,49,yes,0,yes,yes,yes,male,no,11,no,6.01616
24,49,no,0,yes,yes,yes,male,no,11,no,6.57786
25,47,no,0,yes,yes,yes,male,no,11,no,6.55108
26,48,no,0,yes,yes,yes,male,no,11,no,6.53233
27,48,no,0,yes,yes,yes,male,no,11,no,6.31355
37,49,yes,1,no,yes,yes,male,yes,14,no,6.55108
38,48,yes,1,no,yes,yes,male,yes,14,no,6.68461
39,40,yes,1,no,yes,yes,male,yes,14,no,6.69703
40,48,yes,1,no,yes,yes,male,no,14,no,6.90776
41,48,yes,1,no,yes,yes,male,yes,14,no,7.00307
42,48,yes,1,no,yes,yes,male,yes,14,no,7.1624
43,48,yes,1,no,yes,yes,male,no,14,no,7.1309
26,48,no,1,no,yes,yes,male,no,17,no,6.90575
27,49,no,1,no,yes,yes,male,no,17,no,6.90575
28,48,no,1,no,yes,yes,male,no,17,no,7.34601
29,47,no,1,no,yes,yes,male,no,17,no,7.43838
30,46,no,1,no,yes,yes,male,no,17,no,7.48156
31,48,no,1,no,yes,yes,male,no,17,no,7.6009
32,46,no,1,no,yes,yes,male,no,17,no,7.64969
18,46,no,0,no,yes,no,female,yes,11,yes,5.97635
19,39,no,0,no,yes,no,female,yes,11,yes,6.04025
20,44,no,0,no,yes,no,female,yes,11,yes,6.04025
21,49,yes,0,no,yes,no,female,yes,11,yes,6.04025
22,48,no,0,no,yes,no,female,yes,11,yes,6.1203
23,47,yes,0,no,yes,no,female,yes,11,yes,6.2186
24,43,yes,0,no,yes,no,female,yes,11,yes,6.1717
24,50,no,0,no,yes,no,female,yes,17,no,6.78559
25,51,no,0,no,yes,no,female,no,17,no,6.88857
26,51,no,0,no,yes,no,female,no,17,no,6.88755
27,50,no,0,no,yes,no,female,no,17,no,6.96885
28,22,no,0,no,yes,no,female,no,17,no,6.85646
29,41,no,0,no,yes,no,female,no,17,no,6.73815
30,26,no,0,no,yes,no,female,no,17,no,7.1309
7,50,yes,0,yes,no,yes,male,no,16,no,6.58064
8,50,yes,1,yes,no,yes,male,no,16,no,6.83518
9,50,yes,1,yes,no,yes,male,no,16,no,6.91274
10,50,yes,1,yes,no,yes,male,no,16,no,6.95845
11,49,yes,1,yes,no,yes,male,no,16,no,6.9256
12,49,yes,1,yes,no,yes,male,no,16,no,7.23778
13,49,yes,1,yes,no,yes,male,no,16,no,7.2724
11,50,no,0,no,no,yes,male,no,17,no,6.90575
12,49,no,0,no,no,yes,male,no,17,no,6.90575
13,50,no,0,no,no,yes,male,no,17,no,7.49554
14,49,no,0,no,no,yes,male,no,17,no,7.54961
15,49,no,0,no,no,yes,male,no,17,no,7.52564
16,48,no,0,no,no,yes,male,no,17,no,7.72886
17,50,no,0,no,no,yes,male,no,17,no,7.36645
34,44,yes,1,no,yes,yes,male,no,12,no,6.35611
35,46,yes,1,no,yes,yes,male,no,12,no,6.42162
36,49,yes,1,no,yes,yes,male,no,12,no,6.47697
37,48,yes,1,no,yes,yes,male,no,12,no,6.53669
38,45,yes,1,no,yes,yes,male,no,12,no,6.55108
39,47,yes,1,no,yes,yes,male,no,12,no,6.68461
40,50,yes,1,no,yes,yes,male,no,12,no,6.80239
30,46,yes,1,no,yes,yes,male,yes,8,no,6.55536
31,44,yes,1,no,yes,yes,male,yes,8,no,6.62274
32,45,yes,1,no,yes,yes,male,yes,8,no,6.72263
33,46,yes,1,no,yes,yes,male,yes,8,no,6.77992
34,36,yes,1,no,yes,yes,male,yes,8,no,6.93828
35,45,yes,1,no,yes,yes,male,yes,8,no,7.03439
36,45,yes,1,no,yes,yes,male,yes,8,no,7.04578
20,49,yes,1,yes,no,yes,male,no,8,no,6.3081
21,49,yes,1,yes,no,yes,male,no,8,no,6.39693
22,47,yes,1,yes,no,yes,male,no,8,no,6.51767
23,49,yes,1,yes,no,yes,male,no,8,no,6.6107
24,47,yes,1,yes,no,yes,male,no,8,no,6.68711
25,44,yes,1,yes,no,yes,male,no,8,no,6.77079
26,48,yes,1,yes,no,yes,male,no,8,no,6.85646
28,50,yes,0,yes,no,yes,male,no,12,no,5.96615
29,50,yes,0,yes,no,yes,male,no,12,no,6.02828
30,49,yes,0,yes,no,yes,male,no,12,no,6.15273
31,50,yes,0,yes,no,yes,male,no,12,no,6.21461
32,50,yes,0,yes,no,yes,male,no,12,no,6.30992
33,50,yes,0,yes,no,yes,male,no,12,no,6.44572
34,49,yes,0,yes,no,yes,male,no,12,no,6.47697
34,40,yes,1,no,yes,yes,male,yes,12,no,6.45834
